patient_id,B_cell,CD4_T,CD8_T,DC,Endothelial,Epithelial,Fibroblast,Mast,Myeloid,NK,Plasma,Platelet,Proliferating,T_NK,Treg,CD8_memory_like,CD8_exhaustion,IFNG_response,Treg_signature
P23,0.02361111111111111,0.019444444444444445,0.015277777777777777,0.03194444444444444,0.0,0.002777777777777778,0.0,0.001388888888888889,0.027777777777777776,0.11944444444444445,0.02361111111111111,0.0,0.0875,0.6222222222222222,0.025,0.2946309,0.89425904,0.94661593,0.29357722
P24,0.08284023668639054,0.09763313609467456,0.026627218934911243,0.01775147928994083,0.0029585798816568047,0.0,0.0,0.0029585798816568047,0.020710059171597635,0.020710059171597635,0.008875739644970414,0.0,0.011834319526627219,0.6715976331360947,0.03550295857988166,0.6579961,0.2877135,0.36680344,0.20660156
P25,0.008064516129032258,0.051075268817204304,0.04032258064516129,0.005376344086021506,0.002688172043010753,0.002688172043010753,0.0,0.0,0.002688172043010753,0.28763440860215056,0.008064516129032258,0.0,0.026881720430107527,0.5403225806451613,0.024193548387096774,0.2968221,0.8236585,0.5014568,0.43403444
P26,0.5285285285285285,0.13513513513513514,0.0,0.024024024024024024,0.003003003003003003,0.006006006006006006,0.0,0.0,0.015015015015015015,0.015015015015015015,0.018018018018018018,0.0,0.015015015015015015,0.2042042042042042,0.036036036036036036,0.6658174,0.23379976,0.34112516,0.17174287
P27,0.008746355685131196,0.014577259475218658,0.04081632653061224,0.01749271137026239,0.0,0.0,0.0,0.0,0.02040816326530612,0.09037900874635568,0.014577259475218658,0.0,0.029154518950437316,0.7259475218658892,0.037900874635568516,0.24415137,1.2275778,0.8054807,0.43768743
P28,0.006493506493506494,0.0686456400742115,0.012987012987012988,0.04452690166975881,0.0,0.008348794063079777,0.0,0.0,0.3432282003710575,0.05287569573283859,0.0009276437847866419,0.0027829313543599257,0.039888682745825604,0.34786641929499074,0.07142857142857142,0.5082099,0.6113527,0.6609175,0.5165253
P29,0.0736196319018405,0.018404907975460124,0.012269938650306749,0.012269938650306749,0.0,0.0,0.0,0.012269938650306749,0.06134969325153374,0.03067484662576687,0.012269938650306749,0.0,0.018404907975460124,0.6319018404907976,0.1165644171779141,0.34999534,0.7161707,0.6730511,0.5610309
P3,0.01975051975051975,0.09251559251559252,0.02182952182952183,0.037422037422037424,0.0,0.004158004158004158,0.0010395010395010396,0.004158004158004158,0.028066528066528068,0.11226611226611227,0.009355509355509356,0.002079002079002079,0.029106029106029108,0.5862785862785863,0.05197505197505198,0.6004812,0.5027353,0.5643258,0.29266912
P30,0.013550135501355014,0.024390243902439025,0.005420054200542005,0.12195121951219512,0.0,0.0,0.0,0.0,0.051490514905149054,0.0948509485094851,0.03523035230352303,0.0,0.12195121951219512,0.4742547425474255,0.056910569105691054,0.39327875,0.95648795,0.6675635,0.58358645
P31,0.011396011396011397,0.08262108262108261,0.05982905982905983,0.011396011396011397,0.0,0.008547008547008548,0.0,0.0,0.002849002849002849,0.2962962962962963,0.017094017094017096,0.0,0.08262108262108261,0.396011396011396,0.03133903133903134,0.3950186,0.9856882,0.56293905,0.5248222
P33,0.14380530973451328,0.14380530973451328,0.01327433628318584,0.0,0.0,0.004424778761061947,0.0,0.0,0.0,0.015486725663716814,0.01327433628318584,0.0,0.01991150442477876,0.6393805309734514,0.00663716814159292,0.9171649,0.37879506,0.3972616,0.13930637
P35,0.3445378151260504,0.11764705882352941,0.012605042016806723,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.09243697478991597,0.0546218487394958,0.0,0.0,0.3235294117647059,0.05042016806722689,0.55831903,0.33124453,0.37844056,0.28452867
P4,0.25760649087221094,0.08519269776876268,0.011156186612576065,0.033468559837728194,0.0,0.0030425963488843813,0.0,0.0,0.08012170385395538,0.056795131845841784,0.02434077079107505,0.0,0.02738336713995943,0.38843813387423937,0.032454361054766734,0.63511866,0.50825953,0.584302,0.24732447
P5,0.009554140127388535,0.03662420382165605,0.06847133757961783,0.04777070063694268,0.0015923566878980893,0.009554140127388535,0.0,0.0,0.03503184713375796,0.08280254777070063,0.01592356687898089,0.0,0.042993630573248405,0.589171974522293,0.06050955414012739,0.27669054,0.88849574,0.46343502,0.58900416
P6,0.04190751445086705,0.024566473988439308,0.0,0.10260115606936417,0.011560693641618497,0.0,0.0,0.001445086705202312,0.10115606936416185,0.08815028901734104,0.1907514450867052,0.0,0.2615606936416185,0.1546242774566474,0.02167630057803468,0.299636,0.77734375,0.8292457,0.27992737
P7,0.08681135225375626,0.11352253756260434,0.025041736227045076,0.021702838063439065,0.0,0.0,0.0,0.0,0.018363939899833055,0.10350584307178631,0.001669449081803005,0.0,0.01001669449081803,0.5726210350584308,0.04674457429048414,0.62847817,0.6115528,0.5918091,0.34195897
P8,0.23520710059171598,0.09023668639053255,0.013313609467455622,0.020710059171597635,0.0,0.0073964497041420114,0.0,0.0,0.04881656804733728,0.17455621301775148,0.016272189349112426,0.0,0.013313609467455622,0.3698224852071006,0.010355029585798817,0.5781067,0.34939754,0.41525748,0.13763165
